序號,統計期,統計區,"總計 (公噸)","紙類及紙製品 (公噸)","金屬類 (公噸)","塑膠及橡膠製品 (公噸)","玻璃製品 (公噸)","紡織品 (公噸)","家電用品 (公噸)","電池 (公噸)","資訊及通信物品 (公噸)","農藥容器及特殊環境用藥容器 (公噸)","食用油 (公噸)","其他 (公噸)"
1,89年,新北市,"47,851","29,904","6,846","4,820","2,773","1,342",529,86,133,0,0,"1,418"
2,100年,新北市,"444,186","258,970","100,656","39,824","26,349","4,825","5,075","1,538","2,135",44,0,"4,769"
3,89年,臺北市,"48,992","30,631","8,229","3,539","2,433",869,7,36,5,0,0,"3,241"
4,100年,臺北市,"477,590","272,296","169,328","16,031","9,503","1,453","3,005",839,"2,729",3,0,"2,403"
5,89年,桃園市,"37,803","22,573","7,570","2,570","1,092",356,"1,263",138,63,0,0,"2,178"
6,100年,桃園市,"277,975","156,515","46,405","34,286","20,731","1,211","3,934",878,"1,690",35,0,"12,290"
7,89年,臺中市,"78,613","42,475","13,867","9,111","8,836",764,518,156,92,0,0,"2,795"
8,100年,臺中市,"302,113","174,744","44,386","33,240","30,159","3,443","3,859","1,237","1,533",83,0,"9,429"
9,89年,臺中市(舊),"38,288","21,317","5,369","3,497","4,968",540,130,62,0,0,0,"2,406"
10,100年,臺南市,"247,607","129,243","70,499","21,662","15,056","2,216","2,273","1,022",907,73,0,"4,655"
11,89年,臺中縣,"40,326","21,158","8,498","5,614","3,868",224,388,94,92,0,0,389
12,100年,高雄市,"408,128","199,698","94,844","53,905","37,711","4,879","3,540","1,860","1,515",246,0,"9,930"
13,89年,臺南市,"31,340","15,013","5,588","5,861","1,915",841,623,352,64,0,0,"1,084"
14,100年,宜蘭縣,"67,699","34,024","13,268","9,883","6,018","1,306",878,201,243,35,0,"1,843"
15,89年,臺南市(舊),"12,497","5,465","1,774","3,670","1,037",142,298,31,40,0,0,40
16,100年,新竹縣,"60,924","25,331","24,369","5,691","3,607",414,764,315,346,6,0,82
17,89年,臺南縣,"18,844","9,548","3,814","2,192",878,699,324,321,23,0,0,"1,044"
18,100年,苗栗縣,"65,811","33,242","14,661","8,316","5,466","1,269","1,178",561,614,106,0,398
19,89年,高雄市,"60,234","29,034","11,465","8,284","9,131",898,589,272,98,0,0,463
20,100年,彰化縣,"134,916","76,148","17,410","14,840","15,105","3,970","2,298","1,135",711,154,0,"3,145"
21,89年,高雄市(舊),"38,376","16,698","6,525","5,838","7,640",660,288,212,73,0,0,442
22,100年,南投縣,"59,484","32,819","10,377","8,266","6,042",551,551,226,86,32,0,534
23,89年,高雄縣,"21,858","12,336","4,940","2,446","1,491",238,301,60,26,0,0,21
24,100年,雲林縣,"53,542","25,254","13,651","5,913","5,431",694,"1,187",561,200,203,0,448
25,89年,宜蘭縣,"17,225","8,377","6,006",808,251,208,288,142,16,0,0,"1,128"
26,100年,嘉義縣,"59,817","21,367","19,018","8,965","5,168","1,510",920,254,572,91,0,"1,952"
27,89年,新竹縣,"12,229","4,688","4,301",614,143,16,118,34,50,0,0,"2,265"
28,100年,屏東縣,"82,271","35,280","23,260","9,946","9,452","1,248","1,227",378,261,80,0,"1,138"
29,89年,苗栗縣,"11,561","5,473","2,477","1,957",681,183,322,197,72,0,0,198
30,100年,臺東縣,"23,421","6,532","2,346","7,832","4,924",289,55,79,13,8,0,"1,343"
31,89年,彰化縣,"24,437","14,650","5,292","2,333","1,485",180,275,161,31,0,0,29
32,100年,花蓮縣,"39,489","21,168","7,055","5,672","3,349",380,934,295,354,8,0,274
33,100年,澎湖縣,"12,068","6,393","1,184","1,091","2,485",141,256,148,137,33,0,201
34,89年,南投縣,"12,291","5,820","2,924","1,495","1,394",256,178,34,49,0,0,141
35,100年,基隆市,"61,561","36,994","6,543","8,085","7,679",616,"1,225",67,273,32,0,47
36,89年,雲林縣,"11,237","5,115","2,495","2,191","1,019",61,231,19,9,0,0,97
37,100年,新竹市,"58,071","41,119","5,017","3,349","4,349","2,681",516,624,207,14,0,195
38,89年,嘉義縣,"10,558","5,661","2,401","1,372",643,179,208,65,7,0,0,23
39,100年,嘉義市,"37,755","19,837","10,309","3,334","1,373",609,"1,556",197,286,0,0,253
40,89年,屏東縣,"9,735","4,262","1,555","1,716","1,006",128,112,20,21,0,0,916
41,100年,金門縣,"6,412","3,583",736,"1,039",539,51,101,28,64,1,0,270
42,89年,臺東縣,"12,766","10,700",441,"1,302",250,30,26,10,0,0,0,7
43,100年,連江縣,"2,015",775,904,147,50,0,100,13,17,0,0,8
44,89年,花蓮縣,"9,170","3,668","2,220","1,143","1,443",381,174,99,39,0,0,3
45,"100年 1月",新北市,"40,005","22,661","9,421","3,654","2,480",590,426,138,217,8,0,411
46,89年,澎湖縣,"3,982","1,214",360,567,"1,173",59,334,32,12,0,0,231
47,"100年 1月",臺北市,"39,134","22,981","12,808","1,385",989,182,291,70,66,0,0,360
48,89年,基隆市,"21,086","9,283","6,335","1,724","2,382",448,682,75,53,0,0,104
49,"100年 1月",桃園市,"26,048","13,672","4,243","3,680","2,392",116,522,70,134,4,0,"1,217"
50,89年,新竹市,"7,708","4,778","1,047",602,653,246,33,24,24,0,0,303
51,"100年 1月",臺中市,"25,685","14,310","3,759","2,909","2,897",300,326,135,143,7,0,899
52,89年,嘉義市,"9,037","4,106","2,795","1,167",470,155,244,6,31,0,0,64
53,"100年 1月",臺南市,"18,793","9,030","5,307","1,931","1,264",210,169,56,62,7,0,757
54,89年,金門縣,0,0,0,0,0,0,0,0,0,0,0,0
55,"100年 1月",高雄市,"32,857","16,649","6,810","4,680","2,652",413,304,176,118,16,0,"1,040"
56,89年,連江縣,0,0,0,0,0,0,0,0,0,0,0,0
57,"100年 1月",宜蘭縣,"5,618","2,844","1,137",805,534,140,81,15,26,3,0,34
58,"89年 1月",新北市,"3,423","2,220",506,300,174,85,46,8,9,0,0,75
59,"89年 1月",臺北市,"2,188","1,463",172,225,286,39,0,3,0,0,0,0
60,"100年 1月",新竹縣,"5,197","2,183","2,115",423,319,35,61,25,25,1,0,11
61,"89年 1月",桃園市,"1,693","1,118",305,91,90,21,53,6,3,0,0,7
62,"100年 1月",苗栗縣,"5,331","2,786","1,007",644,491,112,112,55,85,9,0,31
63,"89年 1月",臺中市,"5,923","3,510","1,017",631,553,54,51,6,4,0,0,96
64,"100年 1月",彰化縣,"11,379","6,294","1,467","1,261","1,354",328,219,112,72,13,0,259
65,"89年 1月",臺中市(舊),"2,993","1,886",404,246,352,44,15,0,0,0,0,46
66,"100年 1月",南投縣,"5,616","2,828","1,022",781,751,67,60,20,14,4,0,69
67,"89年 1月",臺中縣,"2,930","1,625",614,386,201,11,35,6,4,0,0,50
68,"100年 1月",雲林縣,"4,449","2,247","1,027",467,434,66,95,41,16,21,0,35
69,"89年 1月",臺南市,"1,389",836,223,124,130,46,23,3,1,0,0,3
70,"100年 1月",嘉義縣,"5,076","1,893","1,573",645,472,121,108,22,88,5,0,150
71,"89年 1月",臺南市(舊),557,348,64,58,74,4,8,1,0,0,0,0
72,"100年 1月",屏東縣,"6,706","2,806","1,923",778,820,113,108,32,27,7,0,94
73,"89年 1月",臺南縣,832,488,159,66,56,42,15,2,1,0,0,3
74,"100年 1月",臺東縣,"1,897",577,264,714,296,22,5,7,1,1,0,10
75,"89年 1月",高雄市,"4,198","2,077",860,474,661,71,36,11,6,0,0,1
76,"100年 1月",花蓮縣,"3,326","1,867",559,450,317,26,48,25,15,1,0,18
77,"89年 1月",高雄市(舊),"2,802","1,307",477,342,576,61,23,10,6,0,0,0
78,"100年 1月",澎湖縣,935,544,93,65,136,13,19,14,8,2,0,42
79,"89年 1月",高雄縣,"1,396",770,383,132,85,10,13,1,0,0,0,1
80,"100年 1月",基隆市,"5,105","3,088",523,760,551,77,72,8,20,5,0,0
81,"89年 1月",宜蘭縣,"1,302",352,238,38,5,29,6,5,0,0,0,629
82,"100年 1月",新竹市,"5,289","3,727",434,324,397,239,64,66,17,2,0,21
83,"89年 1月",新竹縣,317,188,72,40,9,2,4,0,1,0,0,0
84,"100年 1月",嘉義市,"3,130","1,620",846,263,163,59,127,14,23,0,0,15
85,"89年 1月",苗栗縣,675,227,182,156,59,21,12,8,4,0,0,7
86,"100年 1月",金門縣,503,288,60,48,43,2,13,7,11,0,0,30
87,"89年 1月",彰化縣,"1,587",879,331,150,101,3,24,98,2,0,0,0
88,"100年 1月",連江縣,274,112,123,14,6,0,12,2,3,0,0,2
89,"89年 1月",南投縣,472,156,98,59,118,29,9,0,1,0,0,1
90,"100年 2月",新北市,"35,871","21,175","7,828","3,157","2,301",526,380,119,188,5,0,193
91,"89年 1月",雲林縣,696,310,152,120,60,1,35,1,1,0,0,16
92,"100年 2月",臺北市,"33,272","20,172","11,076",658,578,132,179,54,344,0,0,79
93,"89年 1月",嘉義縣,614,300,166,80,38,15,14,1,0,0,0,0
94,"100年 2月",桃園市,"23,188","13,224","3,372","2,509","2,537",92,257,71,134,2,0,989
95,"89年 1月",屏東縣,751,301,128,97,92,21,14,2,1,0,0,96
96,"100年 2月",臺中市,"24,010","13,851","3,290","2,757","2,577",231,305,102,137,6,0,753
97,"89年 1月",臺東縣,"1,001",878,13,107,0,0,1,0,0,0,0,1
98,"100年 2月",臺南市,"16,952","8,381","5,052","1,515","1,166",193,172,58,60,5,0,350
99,"89年 1月",花蓮縣,407,221,63,55,38,18,7,3,1,0,0,0
100,"100年 2月",高雄市,"30,310","14,629","6,559","4,247","3,045",442,282,141,122,28,0,815
101,"89年 1月",澎湖縣,207,1,32,10,125,0,26,0,3,0,0,9
102,"100年 2月",宜蘭縣,"5,387","2,740","1,057",762,458,121,69,14,23,3,0,142
103,"89年 1月",基隆市,"1,926",675,870,94,136,33,88,5,5,0,0,20
104,"100年 2月",新竹縣,"4,314","1,836","1,636",416,268,35,64,27,27,1,0,5
105,"89年 1月",新竹市,286,216,32,9,18,4,3,1,1,0,0,1
106,"100年 2月",苗栗縣,"6,061","3,026","1,558",617,411,109,169,58,64,7,0,43
107,"89年 1月",嘉義市,379,157,37,99,67,0,17,0,1,0,0,0
108,"100年 2月",彰化縣,"10,914","6,120","1,363","1,245","1,195",308,225,100,71,13,0,273
109,"89年 1月",金門縣,0,0,0,0,0,0,0,0,0,0,0,0
110,"100年 2月",南投縣,"4,940","2,669",906,657,522,58,62,20,9,3,0,34
111,"89年 1月",連江縣,0,0,0,0,0,0,0,0,0,0,0,0
112,"100年 2月",雲林縣,"4,240","2,075",912,534,466,52,104,31,16,19,0,32
113,"89年 2月",新北市,"2,945","1,828",430,330,146,63,32,4,11,0,0,101
114,"100年 2月",嘉義縣,"4,699","1,686","1,462",646,411,127,107,27,67,8,0,158
115,"89年 2月",臺北市,"2,488","1,206",770,231,219,52,0,9,0,0,0,0
116,"100年 2月",屏東縣,"6,637","2,792","1,866",756,806,127,117,29,27,8,0,107
117,"89年 2月",桃園市,"1,548",973,227,156,41,19,110,7,4,0,0,11
118,"100年 2月",臺東縣,"1,857",617,222,596,383,19,6,5,1,1,0,8
119,"89年 2月",臺中市,"5,321","3,002","1,021",548,573,60,40,58,7,0,0,10
120,"100年 2月",花蓮縣,"3,173","1,635",526,537,293,30,81,21,31,0,0,20
121,"89年 2月",臺中市(舊),"2,520","1,471",375,222,340,43,14,56,0,0,0,0
122,"100年 2月",澎湖縣,908,466,88,58,230,11,16,13,8,2,0,17
123,"89年 2月",臺中縣,"2,801","1,530",647,326,234,18,26,2,7,0,0,10
124,"100年 2月",基隆市,"4,851","3,105",509,640,412,55,97,3,25,4,0,0
125,"89年 2月",臺南市,"1,359",830,215,141,100,49,14,3,1,0,0,6
126,"100年 2月",新竹市,"3,816","2,737",314,210,258,218,33,20,12,1,0,12
127,"89年 2月",臺南市(舊),594,370,66,86,57,3,5,2,0,0,0,5
128,"100年 2月",嘉義市,"2,967","1,564",805,245,107,68,131,15,24,0,0,8
129,"100年 2月",金門縣,493,240,127,43,36,2,12,2,7,0,0,24
130,"89年 2月",臺南縣,765,461,149,55,43,45,9,1,1,0,0,1
131,"89年 2月",高雄市,"4,174","2,085",811,457,633,57,45,20,6,0,0,59
132,"100年 2月",連江縣,273,112,123,14,6,0,12,2,3,0,0,2
133,"89年 2月",高雄市(舊),"2,679","1,224",451,310,540,48,27,16,6,0,0,58
134,"100年 3月",新北市,"36,436","20,234","9,305","3,206","2,228",489,383,127,179,4,0,280
135,"89年 2月",高雄縣,"1,495",862,360,147,93,9,18,4,1,0,0,2
136,"100年 3月",臺北市,"35,164","18,917","13,355","1,568",731,103,156,46,116,0,0,172
137,"89年 2月",宜蘭縣,367,252,70,21,2,8,5,5,1,0,0,3
138,"100年 3月",桃園市,"21,671","12,531","3,598","2,681","1,292",77,275,65,68,2,0,"1,082"
139,"89年 2月",新竹縣,320,195,58,47,12,1,5,1,1,0,0,0
140,"100年 3月",臺中市,"23,987","13,661","3,339","2,808","2,645",235,270,109,145,6,0,769
141,"89年 2月",苗栗縣,711,255,213,138,56,10,20,8,10,0,0,1
142,"100年 3月",臺南市,"18,346","8,950","5,570","1,704","1,247",186,166,73,59,4,0,386
143,"89年 2月",彰化縣,"1,856",956,604,151,112,5,24,2,1,0,0,2
144,"100年 3月",高雄市,"32,088","15,586","7,785","4,431","2,895",385,268,166,112,16,0,444
145,"89年 2月",南投縣,475,211,122,97,16,15,7,3,1,0,0,1
146,"100年 3月",宜蘭縣,"6,670","2,684","1,034",804,486,99,64,20,21,1,0,"1,457"
147,"89年 2月",雲林縣,571,283,69,154,49,3,2,0,0,0,0,10
148,"100年 3月",新竹縣,"4,500","1,867","1,799",412,283,31,50,22,34,1,0,3
149,"89年 2月",嘉義縣,734,377,216,90,20,13,14,4,0,0,0,1
150,"100年 3月",苗栗縣,"5,457","2,782","1,247",652,411,110,104,49,57,9,0,35
151,"89年 2月",屏東縣,670,280,111,86,87,12,12,2,0,0,0,81
152,"100年 3月",彰化縣,"11,161","6,219","1,499","1,296","1,245",292,197,106,67,13,0,227
153,"89年 2月",臺東縣,786,742,9,31,0,1,3,0,0,0,0,0
154,"100年 3月",南投縣,"4,872","2,634",863,712,510,31,52,17,7,3,0,44
155,"89年 2月",花蓮縣,387,198,77,49,33,19,7,3,1,0,0,0
156,"100年 3月",雲林縣,"4,066","1,881","1,035",454,421,47,111,58,13,17,0,29
157,"89年 2月",澎湖縣,186,1,11,23,108,0,31,0,0,0,0,10
158,"100年 3月",嘉義縣,"4,518","1,749","1,278",673,458,133,59,20,22,5,0,120
159,"89年 2月",基隆市,"1,376",748,327,93,102,21,53,8,5,0,0,20
160,"100年 3月",屏東縣,"6,634","2,856","1,833",770,782,119,101,33,24,8,0,109
161,"89年 2月",新竹市,218,144,36,7,24,1,1,1,0,0,0,3
162,"100年 3月",臺東縣,"1,782",552,224,605,353,30,4,4,1,1,0,9
163,"89年 2月",嘉義市,485,222,103,93,45,10,10,0,2,0,0,0
164,"100年 3月",花蓮縣,"3,011","1,569",580,383,327,30,61,23,19,0,0,19
165,"89年 2月",金門縣,0,0,0,0,0,0,0,0,0,0,0,0
166,"100年 3月",澎湖縣,898,471,100,90,172,10,17,13,11,3,0,10
167,"89年 2月",連江縣,0,0,0,0,0,0,0,0,0,0,0,0
168,"100年 3月",基隆市,"4,495","2,608",491,659,581,42,87,4,19,4,0,1
169,"89年 3月",新北市,"3,174","2,075",411,252,237,64,30,3,5,0,0,97
170,"100年 3月",新竹市,"4,657","3,163",398,283,412,239,51,78,17,1,0,14
171,"89年 3月",臺北市,"2,146","1,298",407,178,229,34,0,0,0,0,0,0
172,"100年 3月",嘉義市,"3,085","1,615",859,280,99,48,129,17,24,0,0,15
173,"89年 3月",桃園市,"6,919","4,380","1,963",142,93,38,120,27,5,0,0,151
174,"100年 3月",金門縣,501,246,63,99,36,3,7,2,5,0,0,41
175,"89年 3月",臺中市,"5,979","3,496",968,566,753,11,38,4,4,0,0,140
176,"100年 3月",連江縣,171,54,88,11,5,0,9,1,2,0,0,1
177,"89年 3月",臺中市(舊),"2,965","1,839",370,223,410,2,7,0,0,0,0,113
178,"100年 4月",新北市,"38,889","23,305","8,752","3,122","2,209",355,409,112,160,4,0,462
179,"89年 3月",臺中縣,"3,014","1,657",597,344,342,9,31,4,4,0,0,26
180,"100年 4月",臺北市,"41,728","24,401","14,292","1,403",957,117,173,46,79,0,0,260
181,"89年 3月",臺南市,"1,535",895,229,181,132,42,27,5,3,0,0,21
182,"100年 4月",桃園市,"22,483","12,164","3,639","3,421","1,679",102,322,79,131,2,0,943
183,"89年 3月",臺南市(舊),651,378,82,100,68,3,16,2,0,0,0,2
184,"100年 4月",臺中市,"24,214","14,268","3,516","2,619","2,379",257,283,111,123,6,0,651
185,"89年 3月",臺南縣,885,517,147,81,64,39,11,4,3,0,0,20
186,"100年 4月",臺南市,"22,197","11,250","6,313","1,933","1,564",222,198,73,72,7,0,564
187,"89年 3月",高雄市,"4,183","1,992",819,517,714,47,32,32,6,0,0,23
188,"100年 4月",高雄市,"31,762","15,171","8,202","4,337","2,501",370,286,148,112,18,0,619
189,"89年 3月",高雄市(舊),"2,703","1,168",470,360,597,37,16,28,4,0,0,23
190,"100年 4月",宜蘭縣,"5,299","2,704","1,106",786,480,106,69,14,17,2,0,15
191,"89年 3月",高雄縣,"1,480",824,348,157,116,10,17,4,2,0,0,1
192,"100年 4月",新竹縣,"4,615","1,983","1,790",421,269,33,57,24,29,1,0,7
193,"89年 3月",宜蘭縣,"1,179",367,558,40,159,29,7,6,1,0,0,12
194,"100年 4月",苗栗縣,"5,511","2,840","1,227",681,435,105,93,47,49,9,0,26
195,"89年 3月",新竹縣,573,361,91,45,10,1,13,4,7,0,0,42
196,"100年 4月",彰化縣,"10,837","5,976","1,452","1,227","1,264",330,188,97,68,12,0,222
197,"89年 3月",苗栗縣,778,298,210,152,58,11,18,15,11,0,0,6
198,"100年 4月",南投縣,"4,296","2,415",887,473,386,30,48,17,7,3,0,31
199,"89年 3月",彰化縣,"1,758",969,509,148,79,28,19,6,0,0,0,0
200,"100年 4月",雲林縣,"4,151","1,902","1,119",447,444,50,108,27,13,21,0,20
201,"89年 3月",南投縣,462,217,86,62,58,12,4,1,1,0,0,21
202,"100年 4月",嘉義縣,"4,553","1,629","1,359",715,406,129,58,23,20,5,0,209
203,"89年 3月",雲林縣,480,204,106,90,40,4,28,0,0,0,0,9
204,"100年 4月",屏東縣,"6,568","2,696","1,915",788,807,100,87,33,27,9,0,107
205,"89年 3月",嘉義縣,755,411,175,104,32,11,13,7,0,0,0,1
206,"100年 4月",臺東縣,"1,771",543,182,670,323,25,5,10,1,1,0,11
207,"89年 3月",屏東縣,677,286,106,108,75,12,5,2,0,0,0,82
208,"100年 4月",花蓮縣,"3,053","1,645",565,428,225,24,78,27,44,0,0,16
209,"89年 3月",臺東縣,"1,143","1,042",13,76,0,10,0,1,0,0,0,0
210,"100年 4月",澎湖縣,903,471,90,85,190,11,17,12,10,3,0,14
211,"89年 3月",花蓮縣,390,188,74,53,41,19,12,2,1,0,0,0
212,"100年 4月",基隆市,"4,795","2,897",533,677,498,49,105,7,25,3,0,0
213,"89年 3月",澎湖縣,213,10,15,20,142,0,13,0,1,0,0,13
214,"100年 4月",新竹市,"4,684","3,339",340,250,402,215,37,65,21,1,0,15
215,"89年 3月",基隆市,"1,401",590,572,55,70,18,60,11,5,0,0,20
216,"100年 4月",嘉義市,"3,119","1,706",801,277,93,49,133,17,25,0,0,19
217,"89年 3月",新竹市,823,503,236,19,10,10,1,5,1,0,0,38
218,"100年 4月",金門縣,533,277,47,118,47,8,9,4,6,0,0,16
219,"89年 3月",嘉義市,445,265,54,53,50,12,9,0,3,0,0,0
220,"100年 4月",連江縣,130,40,65,10,4,0,7,1,2,0,0,1
221,"89年 3月",金門縣,0,0,0,0,0,0,0,0,0,0,0,0
222,"100年 5月",新北市,"38,383","23,597","7,922","3,165","2,207",401,419,120,166,3,0,383
223,"89年 3月",連江縣,0,0,0,0,0,0,0,0,0,0,0,0
224,"100年 5月",臺北市,"40,368","24,314","13,012","1,380",804,85,287,50,297,0,0,138
225,"89年 4月",新北市,"3,285","2,054",581,269,179,85,33,4,14,0,0,66
226,"100年 5月",桃園市,"21,995","12,170","3,547","2,941","1,752",104,329,66,167,2,0,918
227,"89年 4月",臺北市,"2,403","1,221",704,208,229,41,0,0,0,0,0,0
228,"100年 5月",臺中市,"24,670","14,351","3,489","2,715","2,542",286,310,99,125,7,0,745
229,"89年 4月",桃園市,"3,514","2,296",907,138,57,23,71,10,3,0,0,8
230,"100年 5月",臺南市,"23,064","11,678","6,665","2,169","1,489",206,205,90,70,7,0,485
231,"89年 4月",臺中市,"5,736","3,313",993,628,666,13,32,10,6,0,0,75
232,"100年 5月",高雄市,"32,733","14,990","8,699","4,237","2,800",399,306,168,138,21,0,974
233,"89年 4月",臺中市(舊),"2,742","1,676",353,239,413,4,8,0,0,0,0,48
234,"100年 5月",宜蘭縣,"5,570","2,892","1,112",824,496,118,68,15,20,2,0,23
235,"89年 4月",臺中縣,"2,994","1,637",639,389,253,8,24,10,6,0,0,27
236,"100年 5月",新竹縣,"4,720","2,078","1,795",403,263,35,77,29,29,1,0,9
237,"89年 4月",臺南市,"1,715",946,342,198,119,70,18,4,1,0,0,16
238,"100年 5月",苗栗縣,"5,538","2,823","1,226",707,424,116,98,50,48,11,0,36
239,"89年 4月",臺南市(舊),611,366,92,73,64,3,9,2,0,0,0,0
240,"100年 5月",彰化縣,"11,274","6,311","1,474","1,311","1,226",339,199,105,64,13,0,233
241,"89年 4月",臺南縣,"1,104",579,250,124,55,67,9,2,1,0,0,16
242,"100年 5月",南投縣,"4,414","2,405",814,529,516,41,41,17,5,3,0,43
243,"89年 4月",高雄市,"4,527","2,220",947,560,619,85,47,16,6,0,0,26
244,"100年 5月",雲林縣,"4,413","2,020","1,187",493,445,55,105,38,15,15,0,40
245,"89年 4月",高雄市(舊),"2,696","1,150",496,390,527,69,21,13,4,0,0,26
246,"100年 5月",嘉義縣,"4,514","1,654","1,239",741,430,137,61,23,38,5,0,186
247,"89年 4月",高雄縣,"1,831","1,070",452,170,93,16,25,4,2,0,0,0
248,"100年 5月",屏東縣,"6,983","2,955","1,971",791,843,127,111,29,28,9,0,120
249,"89年 4月",宜蘭縣,585,281,197,31,4,15,5,6,2,0,0,45
250,"100年 5月",臺東縣,"1,809",517,165,707,366,20,6,9,2,1,0,19
251,"89年 4月",新竹縣,540,302,77,38,7,0,7,3,3,0,0,102
252,"100年 5月",花蓮縣,"3,326","1,785",600,468,271,39,72,18,43,1,0,31
253,"89年 4月",苗栗縣,869,329,221,187,69,12,18,20,4,0,0,7
254,"100年 5月",澎湖縣,931,534,113,83,121,13,24,17,12,3,0,12
255,"89年 4月",彰化縣,"1,903","1,041",539,163,122,11,15,6,1,0,0,3
256,"100年 5月",基隆市,"4,912","2,939",536,647,591,55,104,15,22,2,0,1
257,"89年 4月",南投縣,530,202,103,131,42,33,9,1,1,0,0,8
258,"100年 5月",新竹市,"4,895","3,342",452,289,442,243,36,55,14,1,0,20
259,"89年 4月",雲林縣,875,360,200,202,71,2,28,0,1,0,0,12
260,"100年 5月",嘉義市,"3,302","1,697",908,312,110,62,131,16,25,0,0,41
261,"89年 4月",嘉義縣,796,440,164,93,64,12,15,6,0,0,0,2
262,"100年 5月",金門縣,503,308,56,94,27,2,6,1,4,0,0,6
263,"89年 4月",屏東縣,675,266,104,102,68,15,5,1,6,0,0,107
264,"100年 5月",連江縣,139,41,73,11,4,0,7,1,2,0,0,1
265,"89年 4月",臺東縣,987,864,15,106,2,0,0,0,0,0,0,0
266,"100年 6月",新北市,"39,257","24,243","7,973","3,453","2,074",371,423,124,167,4,0,425
267,"89年 4月",花蓮縣,381,186,68,49,36,14,12,12,4,0,0,0
268,"100年 6月",臺北市,"40,690","24,046","13,868","1,372",817,136,192,52,107,0,0,99
269,"89年 4月",澎湖縣,412,53,126,41,146,5,27,4,0,0,0,10
270,"100年 6月",桃園市,"22,740","12,637","3,768","3,224","1,572",95,287,79,84,3,0,991
271,"89年 4月",基隆市,"1,149",526,292,123,91,24,51,18,4,0,0,22
272,"100年 6月",臺中市,"25,052","14,694","3,583","2,734","2,460",304,310,92,128,9,0,738
273,"89年 4月",新竹市,788,545,62,43,38,10,0,3,6,0,0,81
274,"100年 6月",臺南市,"20,540","10,413","6,075","1,873","1,300",186,198,72,76,7,0,340
275,"89年 4月",嘉義市,476,249,72,102,28,13,8,0,3,0,0,0
276,"100年 6月",高雄市,"32,668","14,668","8,667","4,205","2,822",429,298,165,154,25,0,"1,236"
277,"89年 4月",金門縣,0,0,0,0,0,0,0,0,0,0,0,0
278,"100年 6月",宜蘭縣,"5,658","2,939","1,093",842,529,107,80,18,20,3,0,26
279,"89年 4月",連江縣,0,0,0,0,0,0,0,0,0,0,0,0
280,"100年 6月",新竹縣,"5,035","2,182","1,868",475,345,34,66,25,36,1,0,4
281,"89年 5月",新北市,"3,957","2,431",556,336,228,128,70,5,6,0,0,197
282,"100年 6月",苗栗縣,"5,558","2,749","1,243",748,462,126,93,49,49,11,0,30
283,"89年 5月",臺北市,"2,243","1,350",354,230,223,82,3,0,1,0,0,0
284,"100年 6月",彰化縣,"11,389","6,406","1,573","1,198","1,265",332,200,93,63,13,0,247
285,"89年 5月",桃園市,"3,131","1,855",845,202,81,26,81,18,5,0,0,17
286,"100年 6月",南投縣,"4,747","2,389",863,794,546,45,45,17,5,2,0,41
287,"89年 5月",臺中市,"6,418","3,610","1,136",680,719,113,42,5,8,0,0,104
288,"100年 6月",雲林縣,"4,143","2,076",992,473,375,52,72,35,15,16,0,37
289,"89年 5月",臺中市(舊),"3,140","1,823",407,284,460,102,5,0,0,0,0,59
290,"100年 6月",嘉義縣,"4,772","1,657","1,557",704,441,143,58,24,16,6,0,166
291,"89年 5月",臺中縣,"3,278","1,788",729,396,260,11,37,5,8,0,0,45
292,"100年 6月",屏東縣,"6,912","3,003","1,995",788,768,104,97,31,19,8,0,100
293,"89年 5月",臺南市,"1,813",951,408,212,136,62,20,4,1,0,0,19
294,"100年 6月",臺東縣,"1,724",470,190,636,392,12,5,7,1,1,0,11
295,"89年 5月",臺南市(舊),648,333,115,105,76,3,8,2,0,0,0,7
296,"100年 6月",花蓮縣,"3,388","1,868",620,455,249,34,84,35,19,1,0,23
297,"89年 5月",臺南縣,"1,164",619,293,107,60,59,12,2,1,0,0,12
298,"100年 6月",澎湖縣,"1,112",520,100,105,298,9,22,11,10,3,0,33
299,"89年 5月",高雄市,"4,852","2,389",927,624,735,84,36,19,5,0,0,33
300,"100年 6月",基隆市,"5,097","3,060",551,648,639,59,109,5,24,1,0,2
301,"89年 5月",高雄市(舊),"3,030","1,298",519,467,615,63,18,15,4,0,0,30
302,"100年 6月",新竹市,"5,250","3,896",416,294,319,218,41,23,21,1,0,20
303,"89年 5月",高雄縣,"1,822","1,091",408,157,120,20,18,4,1,0,0,3
304,"100年 6月",嘉義市,"3,280","1,722",848,294,158,62,133,17,25,0,0,21
305,"89年 5月",宜蘭縣,925,475,353,47,4,18,5,13,1,0,0,9
306,"100年 6月",金門縣,542,306,50,96,59,2,6,1,4,0,0,18
307,"89年 5月",新竹縣,756,327,94,48,12,1,10,2,2,0,0,260
308,"100年 6月",連江縣,137,40,73,11,4,0,6,1,1,0,0,1
309,"89年 5月",苗栗縣,938,396,225,179,45,24,33,20,6,0,0,9
310,"100年 7月",新北市,"36,170","21,107","7,988","3,522","2,026",327,438,127,178,5,0,451
311,"89年 5月",彰化縣,"1,863",988,549,168,116,15,18,6,1,0,0,3
312,"100年 7月",臺北市,"40,748","22,650","14,841","1,499",789,124,252,51,252,0,0,291
313,"89年 5月",南投縣,956,322,120,311,113,8,9,6,1,0,0,67
